Song,Artist,photo url,Succ_Score,Spotify Score,Genre,Streams
El Anillo,Jennifer Lopez,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMSEhUSEhIWFhUVFxYYFRcVFRcWFRUYFRgXFhcYFxgYHSggGBolHRUaITEhJSktLi4uFx8zODMsNygtLisBCgoKDg0OGxAQGy0lICUtLS0tLS0tLS0tLS0wLS0wLS0tLS0tLS0tLS0tLS0tLS0vLS0tLS0tLS0tLS0tLS0tLf/AABEIANwA3AMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAAABAMFBgIBB//EAD0QAAIBAwMCBAQEBAUCBwEAAAECEQADIQQSMRNBBSJRYQYycYFCUpGxFCOhwWKC0eHwM0MHJGNykrLxFf/EABkBAAIDAQAAAAAAAAAAAAAAAAECAAMEBf/EACoRAAICAgICAgEDBAMAAAAAAAABAhEDIRIxBEEiUWETQnEyM4HxkbHw/9oADAMBAAIRAxEAPwD4vRRRRFCimdXYCi2R+NAx+pLD+1M37dlNoZHJKKxIcASwnjbSch+H2VsUVJfKz5AQPQmT+sCnfFfDxbMoSy8GeVaAYP7g0eStJk4tpteiuopnU2Aq2yPxrJ+u5hj9KY1GgHSR0JJ2BnX0BJAYe2M+lTmicGV1FMtYHSD9y7L7QAD/AHoewOkr5kuy+0AKf71OSBxYtRFWFu1aW0rurMWZhhwoG0Kfyn1pbUMh+RWX13MGn9AIqKV+guNLsgqXT805ct2UW3uV2LpuJDhRkkRG0+lLypbyAge5DH9QBQ5X6Jxr2Ta7gUhV94mtpIUo58qkkOB8wB/L71V6/ThCNpJVlDLPIBkQfeQaXHK0NkhTIrN2DTwhx71WU7qE6ZSJ8yKx+rc00lsWL0QX7JFQ1baZeqQg5JgV5ftWEO3a7Du4YD7qscfU0Ofob9P36KqimdbpumwAMqwDKeJU+3Y9vtTN63ZTaGRySisSHAywnA203NeheD3ZW0RTOu04RhtJKsqspPMN2PvTWsSxbdk2OduJ6gE4B420Oa9E4PdlZXsV2xXdgHbPE5j6x/arDR27DkylwKol26gwP/jkngCjKVKyRjydWVdFdORJjjtPMdprmmFCmdPomcEpBIOVB80esdxS1eig79EVex3xTBtpiUQK0GQDJMT7TVjqOuRb6YBXppnahzGeRNUFFI4dFiyU2TaxXDHeIY5PA/bFP6rVBb7z5kaAwnBEDj3HINVVFM432Kp10WPi6KotBWDAW8EehdiJHY54ovagobLKRItgEdjLNIPtH71XUUFDVMLnu0WviAToKbZw1xztnzJ5VlT/AGPcUvdP/l0HfqP/APVK70nh6ta6r3hbXfsAKsxJChjx2zUdnRB7vTtuGwxDQVB2qWODnsRUUKJKd/8AAwurKWEC7T/MuTKq3ZPUYpG/fLmTH+VQo/QVDNFFRSBKbei9Y3unZ6QBHTz5UMHc35qr7qOLn8wQxzwB/QV1rvC3tJbdiCLgyByh5Ct6EqQ33+tSaTwtzZOoUgqHKso+YQFO+Py+YCfU0qhQzny/2WPiWtVXTdbRlCpMqCT5B39ap/FAd8lt4IBVhEFe2B8scR2pzxDRn+VkfzQCPaWKZ+4pQ+HNvvJImyHLe+xghj7mlxwSDkyOViVW2t0TuLbIu4dJBII5Az3qssW9zKv5iB+piutTZ2OyHlWZT9jH9qsab2hIySVMZ0N02bylwcGGHeCCD/Q1YjQs2AAy9nBG0j1J7fekrfhihVN28tsuJVSrMdp4Zto8qn9e8Uvq9O9lyjciDgyCCAVYHuCCCD70soNu12NGaSprQz4uvyKpkIu2exMljHtJqTW6tRsHStsRbt5O4n5RzBiobF4MINQ6jTxkUqj0mM5PbRFqL7OxZuT9gAMAAdhV54h/EG42xQVxtO22ZED1FZ6KKaULoSORq/z+SXosX2EeYmIwMn+lWes0NwAWraEqpljjzt688Dgf71T0UXFugKSSegdYJB5FeUUU4oUUUVABRRRUIFFFFQgUUUVCF94TrANObYu2rbdUserb3ypQLiUaMg1DoLypqtz3EIIcF1UhJe2yjyhQQJI4FU9FQI1q9IqARet3J7Jvke53KK88PCdReqfIDLe4Gdv3iPvS6qSYAkniO9Xuk+GbhUNdPTGcEHdj2/tSSnGK2xowcujq74vZvC8r2+mbvnDb2cLcSSo2xgEEr9x6VBoPEenbtBD51u3GIPBVktrB7EHaQRT2j8BEk9lk7nKquOecTnjmmtT4Pau2kOmdXcwbkuEKkwNoU+/eaqeePRZ+i0KeO6q0W05tSFRV3A8oeozlZ/EBPNK2dTba/qpuBVvLdCMwaJa4rCYBPA9KtrHgtq3aLam4qPJKDer7gAQBtXgkjJmKX8Q+HwCGaVViIdSroSe0gxPtUWaK0F4Wyj6S2rts9VHAZWJTdAhhzuUVN4vpk33Liai2+52IVRcDQzE91A7+tN+L/DbWvNZbrJ3IQh1MZ3LmB7zVAaujNSVoplFxdMudQLWo2P1ltsERHVw3/bUIGTaDMqBjGZpTxfVLccbJ2IiW1JwSLahZI7TkxSNFMA6Vop7T6gHBqvr1TStWFOhvU6buKUIp3TajsaNRpu4oJ1pjNXtCNFesK8pysKKKkVJqBI6KKKgAoooqECiiioQKKKKhAoFFM+Habq3FTsTmOwHJ/Sg3SthSt0an4T0S2bf8U+3cSRb3LO0giGQd2JBHtWj+InVbANy1F2DBNwYYxghe8GfWT7VQeD3POt0Wy6WwQiAFgoAIECMknM+9S3tBqdSoNxOnbUSzNgAFtsx7Ga50/lO2/wD30b4Ko0hTR+LWbmnTTXrbwjMd6MACWOCwjOO9W2r8HW4qLp7tlbAYNsfyXFLThyctgeuJprS2bGmBWwgu3AXBuuB09pEAovrM5pq74Wyoi9EFfm6gEs5aME+1LLIl0Wwwt1ZU+IaW0E23iLuwAW1tKJRSQxlxzPEwYqj1Xi56Q09u0qWg28AyzE+7Hn7RW80fh5VeswW01tf5TfKzuTIDKf8AqYmqjXaOzdB6i9Ntph0Eq7luWX8Ig9qkcqWmSWF22jvwS6XsHYF6u2VYGCWQ7h5TiIG371m/H/DFvW21KQHU/wA5BMkknc8DCx7c/Y1dabwXU6ZitvZeQ3CrdNgSQgDNA9INRpZ36h1AZNzFbloIcWXXLiPmA7/WaaD4ytFM0pKmfPaKZ8S0ptXXtmfKxGRB9sUtXRTvZhegoooogPQac0+pjBpKgGg1YU6LC/p5yKRZYpnTaiMGpr1kMJFInWmO1e0IIs1Z2rAioNLYgya9vX81JO9IMVW2IUUUVYVBRRRUIFFFFQgUUUVCBWp+B4R3usm/GxVJjcTk++AP61lq33wXYCpaKtLP1SRBb/DEcyQJwKo8h1Auwr5Hmo8Y1ZuJsC2DACLaUDDEDM8klR/Wn7mhvAjr3S7MJ27idqkliD2BJzHaauLnglxH/irlnqW1UqyEzEruJJHGGGexpa1cJdbxtlrRchA0ecL2JHJiJNc+U9fR0McVy+xrR6ZDb2rBuHPcbApz7EkHAntVlpdIUA2XOnPKbiHPcNtPaRzSdq0pWGURnH7VcafUW7uQdjBVBW5ImIAKtxBrLblfH0aZ6fy6ZXX9CXJJbqECYY5VRySTgDNJaspsCRvKgBbiZRhksG7yMCYzV7qNWtsEIOtcYEQolVUjzSfWKp3bAKQCI7cEQRUtxSv2GHyeukZ4eDi71Gtubd1IjzbQwyD5uFIHrzS/h/jjiFuoboU4bIurJAw4z+GAPer9bl3c99lDr1VLjgb2BKMU4Kz/AMzUo+HLtu67sF/nS2xSCy5KtCgEGJJgdh2rWpfExyXydnz740YPcW4qkDKGcklYMk+pms3W5+LtCpW+1tlOxwxCyFAMDaAeI3fvWGrf47uFfRhzKpBRRRV5SFFFFQgU5o7pmKTAqw0luBJpZdDx7Hry+XHNU1xDNMnVGanDKc1WriO6kVVFFFXFIUV6FrtbRoBI6KaTSk1Muj9aDkgqLEAK6Fs0+LaCg31HAoc/oPH7FE0xPatv4RrHspb1Fu0Fa028RJUBBsMj6meYmsimpLMFHJIA++K1gtfw1oDdvLnaYwIOSD9wKz55dJ9l+GPbXRaJeu6geW9sW5u3ySFMiWxwCYpyzqi6IrMAUAVFCHbt7mZgOfX2qu1wi2sLCCSqrEDcTyeTxSq+IXFiNoxwc1hlbVI6GNLtmsUCPMSB7CefandJfL7ENvzBSA0/Mo4EHvFZTw74oG4C6mO5H+laxSmotyhBjif9qyuMoaki9yjN2mR62QSFRSxU5OSo7xB5pbThSvDBpIyIXaPlinLNtbCFnZffaI9zz71lPGPikklbSgf4moqEpfGPQqlFfJ9jmoLwyqNgIKuZkusg5n5YI7Uva1NzTMb1m91Ns/zI4GeZwQZNUK+IMzDqX+eYOIq30Fw9K4AN1ptxYHh9s7Sv5e1alFx7M83F9IpLtsdL+aSrXuq2V8pEErH3n6Vjq31q+L/mbzqFtqqntsMcDjDn61hb6wzD0JH9a3+PLtGDPGqZHRRRWkzhRRXoFQhLprcmm9VcgRXthdqzSV95NV/1Ms/pRGTXQuGuKKsEHE0Zqe1ox3NLPqyajF8zzVdSY9xRY3LSrUJ1QHAronetVziKEY32GTroafWGoWvk96hoqzihOTOi5rmiiiAksPtZW9CD+hmvqH8KhKSR5mDZJiIkcCvldfSvhzWM1i06fMiwZ/wGKxeYqUZG7wnfKP4J/HGcuXSJa0m5e0sJb+sn71hDaLF977WXhT+IzkTX0zWQ7b+JVdwz5ckAZ7RAH0qs1fwyl07gYNZcfkRg3Zqn47nFNGS0vhUAv10BUrCyZYESY+lbj4eLo4HZhUOj+FUQhmMx2q7soNwjtVPkeQp6Wx8GBw7IvGka62wcCsDrvC1JcvdYMGAVdpiJgma+lX8PPrS+r8FtX8tz7VXg8jgNmw80fKjo0IgFjc3EzEDaP71tfhvRMgts7SBulZAwFmM4JNOr8NWrbSJP1pwWdu26DHTYED83tWjJ5SnSRVDxuCbZmBp9huBBwzQJnBIAyOYx+lYTVTvaRB3GR7zX0jUtLFkID3CTHYTkxXzvxGercnne37mtniStsyeZGqFqKKK2mEKZ0lqTUCLJqxHkWkk/Q8V7ItZd7CkZru40muKZKkBu2FFFFEUKKKKhBvR3YMV7rbXelUMVYod61W9OyxbVFZRXd1YNcVYIFFFFQAVrPgzVQDbzJJKx6gCsnVt4DrXS4iJyzgfrAqrNDnBouwT4TTPpOva6bga6IJVe0AgDFOaJ6rr9i6qWzdub2IOd0kQeDXWkuwa4eSNo7mKWi9uLiktI0vTaXJFVbG4GwvFZ4K7Ra3Q/4kDNMaQ4FVNy9cdhAirO021IPNRxpJAuyPX3Iqi1N8kiJ8pxHr6xTWtvSarb7QPdmUDMd/8Aar8UKEyOkVfilwHWIk7QA04IJZh2rO6tFLsCc7jM/WrDxMhfEF6hOzch5xER+mIqm8Z8uougcB2iuvihVJfRxss7tv7PLmj9KXewRXVvUkU1Y1G4wRV9yRTUWRaOz3Nc6y9Jq0cKBHFV13STkUsZW7YzjSpCNFSvYIqMrVt2VUeUUUUQBRRRUIFM6S7BpaulNBqwp0Oa213FI1ZWW3LFI3kg0sX6GkvZHRRRTiBVl8OCdVYH/qJ6+vtVbVt8JrOs04j/ALq/h3cH070sv6WNHtGq8R1vS1ptuSLbgbd3Zjmee8xVqlUn/iPbH8TZI/EF/AVnMTn6Vb74MVys0VxjJezq+PN24v0WdvWqg8xrh/H7QMfuQP0pZV3CptMu3DJuH0B/esnCHs3J2enxy3MCP1zXf/8ATV8LzXV18QluP8oH7VElrGefWo4wD/DIXzVQL3U1dqyBIDS8cDHlBqz1RIUhfmgx9YrJfCkpq1Ny4qzJJaCs9t3bmtWCCab+jD5ORqor2M/H1kW79h/KQUmAVztc87c/rWX8Rvi5ddxwxJFaX/xB1lq49vp3EYgEMETaAcVka6WFfFM5mV/Jo9FP6S3Ak0rprcmm9U8CBTyd6Fiq2L6i+Sea8t6oioCa8pqQOTLBNUDzXexGqsqS3Pal4fQVP7GX0fpUf8G3pTmnBGTUx1q0nKQ/GJSUUUVcUhRRRUIT6W5BpjWW5EikQasdM+4RSS07LI7VFcRXlS6hINRU4jCptJqXtOty2xVlMqRyDUQFWfh/gd27+Egd8ZillJJbDGLb0WSPfvNZvaq6zqGG2TMCQT/Uj9a0d9vMark0G9H2qxS1BYBlhRtInOQJ5PFd6R4ADEHAggyCCMZ9a52bezo4NWiz0+oK/Sr3QX1PcVmVMjBmojrAnL7T9aySxcjWsnHs2Wq1CAciqi/rBwP1rPHxPcdskn+/1qWzrkImai8dx7A8ylpFvbHrWE8U0bqxKKSAW4zgHn6VpX1x/DUGm0JuW3d22rbIPBJO4GZUZ2mIJ9604G4OzP5CUkYq/eZzuYyf9MVworvUW9rEQQJMTUuktSa6dpI5lNsZsLtWaRvvJprW3ewpI0Ir2GT9HlFdIk05Z0vc0zaQErILNgmnAqoPeubuoC4FJXLpNJuQ2okt/UzS5NeUU6VCN2FFFFEAUUV6ikmAJJ4A5qBPKm09yDVto/hm64lytsd93I+o7VaaP4Zs4zcutIkKsJB4zyST2qiWfGvZdHBke6KZ9C1wgKuTAzgCe5PYU1pPhe4STdIVAYkZLRzt/wBa1dvRFsBQsttEZJgAbZPJFMtoGBXduO4wCQYIHPuOR2rK/Kl0jUvGj3JlFpPDraCbduTP4uY9/erDwx2ttuYlWIYJtjaJE+aQQZ4zTrW1V2VrhUJ+RSwdwJVQVnkjuBwacs6FOkbm4WuruDb1XbkthBuxczE8d8VU5N7Y74rURC/pkF3qP1DaYu7pEFkX5ZjCme3pmoPFLNq5cJtvbUC0s7TsUMFJxI8xgAH3NT+LXNl21a6xSxcTaGsHyIz+Ri7EksIjPpUp8HR2W1priOswnU2ku6gbiLkZtzACn1NWLrZT7EtT4ZbLBkJCuFKAAzc3ep4USCAcfLVZq9B/Dnc3mBUMzhVIBPATP5hzzzWg8MN2xduMGsF2HTC8qRu2+QgFckHGMKag1+gTcy7yT0twUQ7N01gRmdsSecFeMUydMDbZnTqCy79/BzaZRtIWMBexjufSmzpFbJlSAALeA/lAmQIgSfST2qEWHFzeoMRu5XeUjd5iMfKOwrQ6EG5cRunc2qBeth3GCGO0F4nPmOeeO1PJoVWQ6bwlCq2JbqHMsDutwjEptMYLAGSeCKixau+Y7goU7AoIYtnJUkbQM+/FM6vxBXbqkkknz7wT03IZTtIElYyMdvalrWntqA925ttq5VTJSd8wwCwTG0SYxiqu2OLajwy3dVnXduZ/Lb2yZbv6AZx+naktR4KwJwCeDtgEe8cTVp4Jbv3LYS0hYW8i6VaGDkAIWbleSCJ70xb1SENCBfnH5lDE7QQfaCf8woOUovTHXF9owXiHhrpByZmRBBWPX1+tJ2bBNfS7tgqVkDawRl3RsY8MJHYmfTFLjR2naNgAWZKqGBgmY28xIA+lXLyWltFUsCvRiVRUGaWv6knivo+t8HS+NvStqA4nYu54bmdstyeO01mPFPg50uFbbKQCJzIWZiSPbMcxTY88G9iTxyXRlia8qS9ZKEqwII7Go61mcKKKKgAoooqEHfCfDLmpuC3aWWP2A+pNbXw3wqzYVfOFdtw3NG7ETg8D0jmk/hzS27dnc7HdIJSD5h+XGVJBjd9a0vh9ouN1lU3C2QwuXAxUEQwycRBIz6iBWHNkcnXo2Yo8VfsX/gyfOJuMyqQ7NuiB5sERgcH2xmmPCWKjcSxKK7FgpbYGHkLRgAMZnmnBK29i3FBVTbKwd7Q8wJHBDDgHmo9BcVLasHUbmJKN5Zg7WQtEj0hhHesv8l1/RI7BratccHaqhSLdzy9meSAB3MZk0nq3YNtD4nysx2YUnLqI9oj19a71mpVNhDXC34g26EMQwkgh/UH0PGar1VrnkgsSRtAksFEjaB6Zn9alUNG2WFrxBUJQG2GLs6naxTcQu0qV4jiOMma7W+UG+/bEqCZbaAqMJ8insWUgkDg1GttOkfL2OO88c1HZVXdAjqyW1ADFPPzujPGcehHalWRbbHlhaaS9kmq0aB3t7FKMUcFhuUDldwBGCDH0MmutEqbDbKoqqG3QCVxMEFJyzAYA2wBnNWCWQOPv70heDWn3BCyqCwO0MAWPmETkRJz3ikhmUnQ2TBxV9nKXUkLp1YP87CD0gxPmA2jzJtgQSIL0vd04db10OCwVwqICERdwVoZ29CQAM54p99dZ3C5bmy2zykxu27TAuSIPYiJnymlGS2VHTHeUd2Us24HhYPcT7Ex6VoujOo2U7adQoKgCQB0zuNzeqMGPynAJmJ7irPrWwyXmVgwCf9O5NtSoO3diUiBMz/WqpbRzcIYrsLBt2d2RkkfmH07Vcae50wm8ghgN6BS+4kA+aeOAMc9qaTAok/iguqxG5C5XeHtgHyMeoC7HiMjdntxUWqG3ajbbpUq6G6qvnYsICCIy0nngGK7sFlAiwNhGVC8STIIYyRBJwedvpUtq0WO4rjEbp3iMZkntjniJqp5FFXZbHDKTpoU33SVDkYwoybakbnVjbU5RZM4r03Etoxtukhg+I3BiGz5sBNoIKx3BpvVKvNxNyjke3/IqsGktk20kgMVB3gqAXMDdJghRABxQhk5K2Nkw8ZUmK2LxO1huuEtJtMAVUydy9toA9PWrK1c/ldMnY6sChIG6GG1iGAxA7T3qJOtac7SCihlMQwcHDMuMTEirXS3VMTB/QjNLkyVtD48N9i9u303V9pLqNyxCJ/hDLw4PP3NKG3tBUkosHcwWTuOd0dxyvY1amwVO5M4IKkmCCCPt/tSFzVbRtuiDx6zxH1k9qSOVvoLwxXev+im8Q8CXUs6qpU7iVdsxkDaSOQSTxxIrGeOeGnTXmslwxWJIBAkiSIPocTX0XX2iML5WXt3H+lYj4vvB7wYFfkVSAAI2480firoeLlcnRg8nEo7KKiiitxjCrL4e0HX1Fu2eC0t7KMmq2tH8KW4LN3IgSD9cHsZAqvJLjFsfHHlJI2F1D1ZkGIC8GApgSRzxUf8ACOHdkIDMCWVRgqxhhA/DmptOOMdqY1CgeczgQYxIPauN+o+R2niXAUsWmAXcw8sxjueT9cc9qbVVb3EEe2TJ/rS66xC4CkMpyS4ZVjHft3/SoE1txwixjIBiIUMYyOSZpnGb2xYyhdJFkllZ9fcmT/Wum03mDoxVlHlK8j0rywKdtrWZzad2anFNULaS1CbohN4QBjLFtu5ifbmjV2NpW4ibipyo4YfSmLmmUkNElTO0sQCYjtx9a9A2bFZlZmtq5jtukQR2OKLd/OP+StL9kv8ABzor+4CcE9v1p4Cqi7cNrdstrDspZicrBzA9D/SrDTagMAQZ/wBqqyQ/cuh4y/a+yboKAAAIpTU+GD5kkGCMMREmcRxnPpTm6vXfBpIzlF2mGUVJUzKvpyNzFQHUKNm7yXSW8pK8YIEj2q58N0eeoxJaBAwqrjgKuO5z701p7tqNxYMylipCk5W3LKkiZ9e0mltBqEllRiQCYOCIJLCCOea25nNwMmHjzqh8rUTipC+JpDV3GIPTG7ZDOJAIXuc1ihFydGuUlFWxbXXMLvtwhfF7diIPlKj1Irm3aNwIXTaVUA5BDwSQxEe9I2rrWwwZCVugvZVjiZguQD+lXenuBlDDuK2ZbgkkZ8LU22xZ1iobN3YWUIDv2w0mUI7AcZ4pxyKR1Nv9Krg/svnG0NLexioNRYLhBcZUNzaVDT8pOHJHaR9aT098FSqhuopIfIIaflIFcAlsbiTAHJ8gH4VnirYwUdlMpuWkGrNy3vcnqHePNJJ5Iwe4Pv6VififTRdNwfK5n/N+Kt9dQwF7Rn0xMfvVX8QaVLlstAiY5xwII+9avHy1Iy+RhtHzyiunEGK5rqHLPUEkV9L0OnS3ZWApO1cxByslfNgwQMjiawXgFkPqLStwWE/vWvu3iB0x8vvJ5I4nj5jxFZfI20jRh1suNK2Aa81uoDg2wecE8xVPeuEIpBOSw+ysQPpgVLozKSfyz7cVz3i4u2dRZeSpHdzVW2RUFsLcXcHbu3AGBjEU3o/Nbe6HSEyRkMJIUCP+cVRXTCg98VJcbYtsqBLkkk5PkOI9BirePIptxSaNLpLwaKs0cDmqey//AJbTvA3XLlze0ZIHA9hQdQ264JwiXCP8sR+9ZpYG3RoXkRUbZcvfA7/8NI64x1Am2Vw7BZwCGJB+3P1pTwleqYuEsFEgGPxc/tUmqtbWdFwp6YIEZBJPfjjtSwhGMqJOUpKyMXLN17xFwm2ht9KVJDNKhgceVeYBqb+OuW1UbVFpy1xMw5AO0j29YpC6pUYZoLk7SfLkxx9qjsrs1CgZCOwAbzCAXxB+laVGMujNJyh3/JpNHqeorXFMokbicGCYGKL2rUEBjA/3qpsWAUDmZJJ9uSQI9BTFi11jtcmIC4gGB9ufU1m/ShyNPOXCyHU6oWrsWbAuPGNrTAfuSOPT3rjQeKOhi7aFsMp2DbIJMCFYf8zUosLsVQIFy/cVyuCwUAgEj68VI9kJ1rQyiILqhswwKz9j3+laaVUZG9nOl1zssJ/1CRtXkt3J/wDbIioEuh7zNdDDetzqhCVEiYRSDJXA5rlL56XXXyOCCNuACDjmcYpzwgbkBbJOSTz5pmq3JY02l7L+DnSb9CXhGkIi4zBwFjJnaB+ETxFWX8UDbLIQRwI4n0pi4oAgAAVQ2rpNq4pyFbaB7TVP918n+C7+3Gl+RjR3yAx8twsoXaIBtFTGQRzA9ua4/ildlthoJUli2FVgJIB78U4lpV3QIyR+h7nvVLdYEdPaoAlpAhic8nuMVeqlJ2uiltwimn2TaS703N5CGfYIlTHm8pDfQT/SubDKm3a24FQTH4WMyvvFM6vQpb0/UWdwcLJJ4a2WOOOf2qosXStvHcifenatULCVPkaNDIqv12gBhvy//uBT5Ta7oOFYgTzipbBzWZNxejXJKUT5d41pNrk8eoiOarK3vxr4circZQZGw+3mgmsEa7WCfKFnBzR4yo//2Q==",58,84,Latin,"60,096,397"
Coolant,Farruko,https://images-na.ssl-images-amazon.com/images/I/51LUIiGM%2BHL._SS500.jpg,63,78,Latin,"13,767,413"
Me Dijeron,Ozuna,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Ozuna_Aura.png/220px-Ozuna_Aura.png,67,76,Latin,"56,515,787"
Sola,Manuel Turizo,https://images-na.ssl-images-amazon.com/images/I/51NqWKBEXTL._SS500.jpg,72,74,Latin,"69,234,234"
Beach House,The Chainsmokers,https://static.stereogum.com/uploads/2018/11/the-chainsmokers-beach-house-1542385104-640x640.jpg,68,77,Dance/EDM,"14,003,231"
Clarity,Zedd,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Zedd_-_Clarity_%28album%29.png/220px-Zedd_-_Clarity_%28album%29.png,72,80,Dance/EDM,"120,343,213"
Leon On,DJ Snake,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Major_Lazer_and_DJ_Snake_-_Lean_On_%28feat._M%C3%98%29.png/220px-Major_Lazer_and_DJ_Snake_-_Lean_On_%28feat._M%C3%98%29.png,62,79,Dance/EDM,"23,423,423"
Like I Do,Brooks,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/David_Guetta%2C_Martin_Garrix_and_Brooks_Like_I_Do.png/220px-David_Guetta%2C_Martin_Garrix_and_Brooks_Like_I_Do.png,71,81,Dance/EDM,"12,653,941"
One Kiss,Dua Lipa,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Calvin_Harris_and_Dua_Lipa_One_Kiss.png/220px-Calvin_Harris_and_Dua_Lipa_One_Kiss.png,67,79,Dance/EDM,"112,383"
Under Control,Calvin Harris,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Calvin_Harris_and_Alesso_feat_Hurts_-_Under_Control.png/220px-Calvin_Harris_and_Alesso_feat_Hurts_-_Under_Control.png,66,82,Dance/EDM,"12,542"
Lose It,Kane Brown,https://www.savingcountrymusic.com/wp-content/uploads/2018/06/kane-brown-lose-it.jpg,27.5,58,Country,"126,742,725"
What ifs,Kane Brown,https://www.savingcountrymusic.com/wp-content/uploads/2018/06/kane-brown-lose-it.jpg,32.4,67,Country,"176,446,542"
Body like a back road,Sam Hunt,https://images-na.ssl-images-amazon.com/images/I/61RsqVbDJbL._SS500.jpg,25.6,60,Country,"12,347,421"
Broken Halos,Chris Stapleton,https://images-na.ssl-images-amazon.com/images/I/51S-%2Bys5QNL._SY355_.jpg,30.1,58,Country,"34,321,342"
Mercy,Brett Young,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Brett_Young_album_cover.jpg/220px-Brett_Young_album_cover.jpg,16.6,57,Country,"12,642,632"
Heaven,Kane Brown,https://www.savingcountrymusic.com/wp-content/uploads/2018/06/kane-brown-lose-it.jpg,28.4,60,Country,"4,254,243"
Bodak Yellow,Cardi B,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Bodak_Yellow_Cover_Art.jpg/220px-Bodak_Yellow_Cover_Art.jpg,45,62,Rap,"234,249,432"
Lose Yourself,Eminem,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Lose_Yourself.jpg/220px-Lose_Yourself.jpg,49,74,Rap,"183,423,232"
Nonstop,Drake,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Scorpion_by_Drake.jpg/220px-Scorpion_by_Drake.jpg,58,73,Rap,"565,423,432"
Lie,NF,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Nf_perception_album_cover.jpg/220px-Nf_perception_album_cover.jpg,62,71,Rap,"32,324,334"
Close Friends,Lil Baby,https://t2.genius.com/unsafe/220x220/https%3A%2F%2Fimages.genius.com%2F94f5c194cc7629cf060714e5795f6c96.1000x1000x1.jpg,61,68,Rap,"32,165,494"
No Brainer,DJ Khaled,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/DJ_Khaled_No_Brainer.png/220px-DJ_Khaled_No_Brainer.png,45,65,Rap,"256,423,232"